UMAP_1,UMAP_2,Record_ID,Population_Stratum,Week End,ZIP Code,Latitude,Longitude,Case Rate - Cumulative
-3.57279,6.8388457,194.0,Q2_Medium,2021-10-02,60611,41.894734,-87.620291,8332.8
-2.6450691,11.50846,195.0,Q2_Medium,2021-01-30,60611,41.894734,-87.620291,5791.6
-3.5702853,6.838278,196.0,Q2_Medium,2021-10-23,60611,41.894734,-87.620291,8625.8
-3.570308,6.8367367,197.0,Q2_Medium,2021-11-06,60611,41.894734,-87.620291,8807.7
-3.5646038,6.8436103,198.0,Q2_Medium,2021-12-04,60611,41.894734,-87.620291,9402.9
1.6639848,4.649329,199.0,Q2_Medium,2021-12-18,60611,41.894734,-87.620291,10636.5
1.6905457,4.6556067,200.0,Q2_Medium,2021-12-25,60611,41.894734,-87.620291,12425.2
1.6538976,4.608555,201.0,Q2_Medium,2022-01-01,60611,41.894734,-87.620291,13905.5
-2.664891,11.501085,202.0,Q2_Medium,2021-02-27,60611,41.894734,-87.620291,6056.9
1.6927708,4.6386085,203.0,Q2_Medium,2022-01-08,60611,41.894734,-87.620291,15490.7
1.6087617,6.2962694,204.0,Q2_Medium,2022-03-12,60611,41.894734,-87.620291,17374.9
1.5961666,6.307505,205.0,Q2_Medium,2022-03-19,60611,41.894734,-87.620291,17421.2
1.5941305,6.3115106,206.0,Q2_Medium,2022-04-02,60611,41.894734,-87.620291,17760.4
1.5965405,6.316475,207.0,Q2_Medium,2022-04-09,60611,41.894734,-87.620291,18010.2
1.4886619,6.4793453,208.0,Q2_Medium,2022-05-14,60611,41.894734,-87.620291,20005.6
1.6229267,6.117733,209.0,Q2_Medium,2022-01-15,60611,41.894734,-87.620291,16184.5
1.4140784,6.579628,210.0,Q2_Medium,2022-06-18,60611,41.894734,-87.620291,22173.6
1.4138637,6.571804,211.0,Q2_Medium,2022-07-02,60611,41.894734,-87.620291,22713.3
1.3847045,6.5938625,212.0,Q2_Medium,2022-08-13,60611,41.894734,-87.620291,24480.4
-6.680806,6.580884,213.0,Q2_Medium,2022-09-10,60611,41.894734,-87.620291,25097.1
-6.6784143,6.578968,214.0,Q2_Medium,2022-09-17,60611,41.894734,-87.620291,25195.8
1.6316406,6.2392263,215.0,Q2_Medium,2022-01-29,60611,41.894734,-87.620291,16795.2
-6.6725287,6.6017137,216.0,Q2_Medium,2022-10-29,60611,41.894734,-87.620291,25840.4
-6.6969852,6.57934,217.0,Q2_Medium,2022-11-05,60611,41.894734,-87.620291,25982.2
-6.866382,6.6320276,218.0,Q2_Medium,2022-12-31,60611,41.894734,-87.620291,27009.2
1.6080788,6.2854037,219.0,Q2_Medium,2022-02-12,60611,41.894734,-87.620291,17115.9
1.611666,6.28689,220.0,Q2_Medium,2022-02-26,60611,41.894734,-87.620291,17276.3
1.6155156,6.2808437,221.0,Q2_Medium,2022-03-05,60611,41.894734,-87.620291,17322.5
