Record_ID,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12
11680.0,0.2124692370795734,0.2465713008493518,0.03613451757382525,0.4371381890796135,0.01763110307414105,0.1866412553723732,0.17900915564997655,0.099,0.19780219780219782,0.23047065529743804,0.9026969311744466,0.8596236405176693
11681.0,0.21298878862455564,0.2465713008493518,0.033401654900174604,0.43820723319281113,0.008589511754068717,0.187457781868658,0.17979233383663557,0.055,0.19780219780219782,0.23047065529743804,0.9026969311744466,0.8629325426649542
11682.0,0.213426305715067,0.2465713008493518,0.03317391634403705,0.4391071542169833,0.007233273056057866,0.18826874113883177,0.18057011248706567,0.05,0.19780219780219782,0.23047065529743804,0.9026969311744466,0.8655596975885197
11683.0,0.167104183757178,0.2465713008493518,0.14529719881575953,0.34380396616917586,0.0461121157323689,0.1411959886280128,0.1354222339157633,0.066,0.2065934065934066,0.23047065529743804,0.9026969311744466,0.6479483180997948
11684.0,0.21394585726004922,0.2465713008493518,0.030896530782661507,0.440176198330181,0.008589511754068717,0.1890240281478952,0.18129453390221542,0.054000000000000006,0.19780219780219782,0.23047065529743804,0.9026969311744466,0.8683940236341816
11685.0,0.21452009844134537,0.2465713008493518,0.03165565930312002,0.4413585083653865,0.00949367088607595,0.18979787257732877,0.18203672470022758,0.055,0.19560439560439563,0.23047065529743804,0.9026969311744466,0.8716303950465676
11686.0,0.21517637407711238,0.2465713008493518,0.0332498291960829,0.4427083899016448,0.0108499095840868,0.19061068758953956,0.18281627047160534,0.057,0.19560439560439563,0.23047065529743804,0.9026969311744466,0.8749149118605676
11687.0,0.2156959256220946,0.2465713008493518,0.032338874971532684,0.4437774340148425,0.008589511754068717,0.1914012336973062,0.18357451261822533,0.052000000000000005,0.19560439560439563,0.23047065529743804,0.9026969311744466,0.8780908409938711
11688.0,0.144954881050041,0.47199821189092533,0.07469824641311774,0.15579649992785116,0.0004520795660036166,0.20060200271680634,0.10050902900630863,0.001,0.1186813186813187,0.6304189413928611,0.7025207413354764,0.30122389362492347
11689.0,0.24763467322942304,0.28990612427358065,0.021559249981021787,0.43333059219458153,0.005877034358047016,0.30774883644974277,0.2510436321796652,0.049,0.13406593406593406,0.8112031122367966,0.6801401712832842,0.8398060761581053
11690.0,0.09945310363686082,0.3067590523021904,0.054657253473012986,0.1644698766953038,0.00406871609403255,0.16457277106823934,0.1268734427246649,0.01,0.1098901098901099,0.6151604012528651,0.6391760337213981,0.27923582618134435
11691.0,0.004320481268799563,0.7823781850692891,0.018978213011462842,0.002802167878715471,0.03164556962025317,0.0013880950436841674,0.00041959305168043386,0.24800000000000003,0.4043956043956044,0.5737598946917046,0.7535265845934163,0.008912482021399425
11692.0,0.5656002187585453,0.7081358962896737,0.1081758141653382,0.40518944113352806,0.00949367088607595,0.7254077065255312,0.2422566723541782,0.013999999999999999,0.13626373626373628,0.664068238847733,0.5550927784468485,0.8930429358726474
